accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed
4,1.5,2.0,150.0,60.0,2000.0,30.0,4,4.497659047510778,118.1204169851232,t,Entire home/apt,Real Bed,3,f,f,strict_14_with_grace_period,True,True,True,True,False
2,1.0,1.0,80.0,20.0,0.0,10.0,1,5.756247571806967,65.365993060096,t,Entire home/apt,Real Bed,1,f,f,strict_14_with_grace_period,True,False,True,False,False
1,1.0,1.0,22.0,0.0,0.0,0.0,1,3.375945286594209,38.539368641961175,t,Private room,Real Bed,1,f,f,flexible,False,False,False,False,False
4,1.0,2.0,70.0,0.0,0.0,0.0,1,1.7880276065765806,100.0,t,Entire home/apt,Real Bed,150,f,f,flexible,False,True,False,False,False
2,1.0,1.0,45.0,0.0,0.0,0.0,1,5.704968910181584,46.85022220522677,t,Private room,Real Bed,5,f,f,strict_14_with_grace_period,True,False,False,False,True
2,1.0,1.0,20.0,0.0,0.0,0.0,1,3.453252795032772,39.960435206457895,t,Private room,Real Bed,10,f,f,flexible,True,False,False,False,True
2,1.5,1.0,65.0,0.0,0.0,0.0,1,5.937452444551392,70.0,t,Private room,Real Bed,4,f,f,moderate,False,True,False,False,False
2,1.0,1.0,25.0,18.0,0.0,12.0,1,3.210191050211033,49.83472235287304,t,Private room,Real Bed,2,f,f,strict_14_with_grace_period,False,False,True,False,False
3,1.0,1.0,75.0,30.0,500.0,5.0,2,4.072272478686895,60.0,t,Entire home/apt,Real Bed,1,f,f,moderate,False,False,False,False,False
2,1.0,1.0,85.0,35.0,0.0,10.0,2,4.820727628388451,68.99763196294829,t,Entire home/apt,Real Bed,3,f,f,moderate,False,False,True,False,False
3,1.0,1.0,75.0,35.0,0.0,10.0,2,5.581825817689363,50.0,t,Entire home/apt,Futon,3,f,f,strict_14_with_grace_period,False,False,True,False,False
2,1.0,1.0,80.0,25.0,0.0,0.0,1,4.183479759838589,61.99129103432374,t,Entire home/apt,Real Bed,4,f,f,flexible,False,False,False,False,False
2,1.0,1.0,65.0,0.0,0.0,5.0,1,5.0261483236712055,55.81609271812075,t,Entire home/apt,Real Bed,8,t,f,strict_14_with_grace_period,True,False,False,False,False
2,1.0,1.0,30.0,0.0,0.0,0.0,1,4.429914338481146,10.0,t,Private room,Real Bed,4,f,f,strict_14_with_grace_period,True,False,True,False,False
4,1.0,1.0,75.0,30.0,500.0,18.0,1,4.09249828664997,75.56368692079582,t,Entire home/apt,Real Bed,4,f,f,moderate,True,True,False,False,False
2,1.0,0.0,35.0,15.0,0.0,20.0,2,3.8641279851882016,30.0,t,Entire home/apt,Real Bed,3,t,f,moderate,True,False,False,True,False
3,1.0,1.0,50.0,20.0,150.0,20.0,2,4.944273062633743,63.193065930740154,t,Entire home/apt,Real Bed,2,f,f,moderate,True,True,True,True,True
3,1.0,1.0,23.0,0.0,0.0,0.0,1,6.534656356954588,150.0,t,Private room,Real Bed,1,f,f,moderate,True,True,True,False,False
15,2.0,4.0,290.0,130.0,400.0,30.0,6,4.453337866081669,194.04095156177559,t,Entire home/apt,Real Bed,3,f,f,strict_14_with_grace_period,True,True,True,True,False
2,1.0,1.0,39.0,35.0,100.0,0.0,1,0.8739260311492723,15.0,t,Entire home/apt,Real Bed,7,f,f,strict_14_with_grace_period,False,False,False,True,False
5,1.0,3.0,119.0,45.0,0.0,30.0,4,1.3375072223891844,97.53356381622305,t,Entire home/apt,Airbed,3,f,f,strict_14_with_grace_period,True,False,True,True,False
2,1.0,1.0,35.0,10.0,0.0,15.0,1,7.570434912933947,51.403520815076476,t,Private room,Real Bed,1,f,f,moderate,False,False,True,True,False
8,2.0,4.0,77.0,0.0,0.0,0.0,1,8.064646970794294,20.0,t,Entire home/apt,Real Bed,5,t,f,moderate,False,True,True,False,False
3,1.5,1.0,27.0,0.0,0.0,10.0,1,1.5278804201500609,55.28879117811703,t,Private room,Real Bed,2,f,f,flexible,False,False,False,False,False
4,1.0,1.0,50.0,0.0,0.0,0.0,1,1.4495364889121003,62.0,t,Entire home/apt,Real Bed,5,f,f,flexible,False,False,True,False,True
4,1.0,1.0,64.0,38.0,0.0,0.0,4,18.6761739262996,10.0,t,Entire home/apt,Real Bed,2,t,f,strict_14_with_grace_period,True,True,True,False,False
2,1.0,0.0,60.0,20.0,150.0,0.0,1,1.3544072665217617,56.72526674324398,t,Entire home/apt,Real Bed,3,f,f,moderate,False,False,True,False,False
2,1.0,1.0,49.0,15.0,100.0,0.0,1,4.461775735873704,10.0,t,Private room,Real Bed,2,f,f,moderate,False,False,False,True,False
3,1.0,2.0,40.0,30.0,0.0,4.0,2,7.2549742180578365,10.0,t,Entire home/apt,Real Bed,3,f,f,moderate,True,False,True,False,True
4,1.0,1.0,55.0,30.0,250.0,10.0,2,3.2832530494790992,15.0,t,Entire home/apt,Real Bed,4,f,f,moderate,False,True,True,False,False
2,1.0,1.0,45.0,0.0,0.0,0.0,1,4.054340153777551,47.567954603413106,t,Private room,Real Bed,3,f,f,flexible,False,False,False,False,True
2,1.0,1.0,35.0,20.0,0.0,0.0,1,2.6123384366770743,140.0,t,Private room,Real Bed,2,t,f,flexible,False,False,False,False,False
3,1.0,1.0,80.0,10.0,0.0,0.0,1,3.9786427715898136,60.0,t,Entire home/apt,Real Bed,3,t,f,flexible,True,False,False,False,False
2,1.0,1.0,70.0,0.0,0.0,0.0,1,3.8098312542680586,55.543159240298614,t,Private room,Real Bed,1,f,f,flexible,True,False,True,False,True
1,1.0,1.0,36.0,20.0,100.0,50.0,1,1.8481603241990812,70.47533812364951,t,Private room,Real Bed,2,f,f,moderate,True,True,False,True,False
4,1.0,1.0,16.0,0.0,0.0,5.0,1,16.423666807461164,20.0,t,Private room,Real Bed,3,t,f,flexible,True,True,True,False,False
2,1.0,1.0,60.0,10.0,0.0,20.0,2,6.282652593034714,200.0,t,Private room,Real Bed,5,f,f,strict_14_with_grace_period,True,False,True,False,False
4,1.0,2.0,70.0,150.0,1500.0,0.0,1,5.53925386892542,84.83477296005353,t,Entire home/apt,Real Bed,60,t,f,strict_14_with_grace_period,True,True,True,True,False
2,1.0,1.0,35.0,0.0,0.0,0.0,1,4.260609051738939,44.330709455899154,t,Private room,Real Bed,2,f,f,flexible,True,False,False,False,False
